price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,$/sqft,Barato/Caro,,,,,
"500,000.00",3,1.75,1540,10800,1,5,6,770,46.30,Barato,,,,,
"525,000.00",4,1.5,1170,6240,1,4,6,1170,84.13,Barato,,Desvio Padrão,,,
"550,000.00",3,1.75,1830,9720,1,3,7,1150,56.58,Barato,,"737,993,072.74",,,
"550,000.00",3,1.5,1340,6000,1,4,7,1340,91.67,Barato,,,,,
"554,000.00",2,1,820,3700,1,5,7,820,149.73,Barato,,-1.16294333171949,,,
"571,500.00",3,1,1300,6710,1,4,6,1300,85.17,Barato,,,,,
"572,000.00",3,1.5,1680,13751,1,4,7,1680,41.60,Barato,,,,,
"587,100.00",2,1,1190,6967,1,3,7,1190,84.27,Barato,,,,,
"597,326.00",4,4,3570,8250,2,3,10,2860,72.40,Barato,,,,,
"604,000.00",3,1,1440,13824,1,4,7,1440,43.69,Barato,,,,,21030.91
"610,000.00",4,1.75,1830,29110,2,3,8,1230,20.95,Barato,,,,,
"616,000.00",3,1.5,1740,9840,1,4,8,1740,62.60,Barato,,,,,
"623,000.00",3,1.75,2050,16313,1,2,8,2050,38.19,Barato,,,,,
"624,800.00",3,2,2250,14274,1,4,8,1500,43.77,Barato,,,,,
"630,000.00",2,1,1050,8382,1,3,7,1050,75.16,Barato,,,,,
"645,000.00",4,1.75,1550,7350,1.5,4,8,1550,87.76,Barato,,0.859887126676616,,,
"648,752.00",3,2.25,2060,9953,1,5,8,1070,65.18,Barato,,4,,,
"650,000.00",3,1.5,1380,4500,1,5,7,1380,144.44,Barato,,,,,
"650,000.00",3,1.75,1940,10245,1,3,7,1940,63.45,Barato,,,,,
"659,000.00",4,2,2090,10800,1,4,7,2090,61.02,Barato,,,,,
"670,000.00",3,1,1600,16868,1,3,7,990,39.72,Barato,,,,,
"677,500.00",3,1.75,2020,9718,1,3,8,2020,69.72,Barato,,,,,
"680,000.00",3,1.75,2330,9652,1,4,8,1590,70.45,Barato,,,,,
"685,000.00",3,2.5,1460,8800,1,4,7,1460,77.84,Barato,,,,,
"685,000.00",3,1.75,1650,8400,1,3,8,1470,81.55,Barato,,,,,
"685,000.00",3,1.5,2230,8558,2,3,8,2230,80.04,Barato,,,,,
"690,000.00",3,1.5,1710,17707,1,4,7,1180,38.97,Barato,,,,,
"693,000.00",3,2.25,2120,13644,2,4,9,1420,50.79,Barato,,,,,
"698,000.00",3,1.5,1090,7200,1,4,7,1090,96.94,Barato,,,,,
"699,000.00",3,2.5,2740,18455,2,4,10,1510,37.88,Barato,,,,,
"705,000.00",3,1.75,2180,10221,1,4,7,1140,68.98,Barato,,,,,
"705,000.00",4,1.75,1690,11739,1,4,8,1690,60.06,Barato,,,,,
