ID,Bathrooms,sqft_living,condition,grade,sqft_above,floors,Barata/Cara
1,3,1,2,3,1,2,1
2,3,3,2,1,1,2,1
3,3,1,3,2,1,2,1
4,1,1,3,3,1,2,1
5,3,3,2,3,1,2,3
6,2,1,3,3,3,3,1
7,3,1,2,3,1,3,1
8,3,1,3,2,3,3,1
9,3,3,3,3,3,3,1
10,1,1,3,2,1,2,3
11,1,1,3,1,1,2,1
12,3,3,2,3,3,3,3
13,3,3,3,3,3,3,1
14,3,3,3,3,3,3,1
15,3,3,2,3,3,3,3
16,3,3,3,3,1,2,1
17,3,1,2,3,1,3,1
18,3,1,3,3,1,2,1
19,3,1,3,2,1,3,3
20,3,3,3,3,3,3,3
21,3,3,2,3,1,2,3
22,3,1,3,3,1,3,3
23,3,1,3,3,1,3,3
24,3,1,1,1,1,2,1
25,3,1,2,3,3,3,3
26,3,1,3,3,1,2,1
27,3,3,2,3,3,3,1
28,3,3,2,3,3,3,1
29,3,1,3,2,1,2,1
30,3,3,2,3,3,3,3
31,3,1,3,1,1,2,1
32,3,1,3,3,3,2,1
33,1,1,3,1,1,3,3
34,3,1,2,3,1,2,1
35,3,3,3,3,3,3,3
36,1,1,3,3,1,2,3
37,3,3,3,3,1,2,1
38,3,3,3,3,3,3,1
39,3,1,3,3,1,2,3
40,3,1,3,3,1,2,1
41,3,3,2,3,3,3,1
42,3,1,3,3,3,3,3
43,3,3,2,3,1,3,1
44,3,3,3,3,1,2,1
45,1,1,3,1,1,2,3
46,3,3,2,3,3,3,3
47,1,1,3,1,1,2,1
48,3,1,2,2,1,3,3
49,1,1,3,1,1,2,3
50,3,3,3,2,3,3,3
51,3,3,3,2,1,2,1
52,3,3,2,3,3,3,3
53,3,1,3,1,1,2,3
54,3,3,3,2,1,2,1
55,3,1,3,2,1,2,1
56,1,1,3,3,1,2,3
57,3,3,2,3,3,3,1
58,3,1,3,2,1,2,1
59,1,1,3,2,1,2,3
60,3,1,3,2,1,2,3
61,3,1,3,2,1,2,3
62,2,1,3,1,1,2,1
63,3,3,2,2,3,3,1
64,3,3,3,3,3,3,1
65,3,3,2,3,3,2,3
66,3,1,3,3,1,3,3
67,3,1,3,3,1,2,1
68,3,1,3,3,1,2,3
69,3,1,3,2,1,2,1
70,3,1,3,3,1,3,3
71,3,3,2,3,3,3,1
72,3,3,2,3,3,3,1
73,3,1,3,2,1,2,1
74,3,3,3,3,1,3,3
75,3,3,2,3,3,3,1
76,3,3,2,3,3,3,3
77,1,1,3,1,1,2,1
78,2,1,3,1,1,2,3
79,3,3,3,3,1,2,1
80,1,1,3,3,1,2,1
81,2,1,2,2,1,2,3
82,3,1,3,1,1,2,3
83,3,1,3,2,1,2,1
84,3,3,3,3,3,3,1
85,3,1,3,1,1,2,1
86,3,1,3,3,1,2,1
87,2,1,2,3,1,3,3
88,3,3,2,3,3,3,1
89,1,1,2,2,1,2,3
90,3,3,2,3,3,3,3
91,2,1,3,1,1,2,3
92,3,3,2,3,3,3,1
93,1,1,3,1,1,2,3
94,3,3,3,3,3,3,3
95,3,1,3,3,1,3,3
96,3,3,3,3,3,3,3
97,3,1,3,3,1,2,1
98,3,3,2,3,3,3,1
99,3,3,3,3,1,2,3
